"Station_ID","Location","Latitude","Longitude","Elevation","OCT2023","NOV2023","DEC2023","JAN2024","FEB2024","MAR2024","APR2024","MAY2024","JUN2024","JUL2024","AUG2024","SEP2024","WY to Date","Pct Avg to Date","Pct Tot WY"
"FSTC1","FORESTHILL RS",39.01,-120.85,3020,2.12,3.52,3.19,9.51,10.85,10.49,2.11,2,0,0,0.45,0,44.24,82,82
"GEOC1","GEORGETOWN RS",38.92,-120.79,3011,1.9,3.68,4.32,10.77,9.14,10.35,1.96,2.36,0,0,0.13,0,44.61,87,87
"GLRC1","GOLD RUN 2SW",39.16,-120.86,3320,1.49,3.51,5.1,12.53,10.7,9.46,2.98,2.38,0,0,0.71,0.08,48.94,88,88
"GRAC1","GRASS VALLEY NO. 2",39.2,-121.07,2400,1.59,2.53,5.36,11.16,13.04,8.32,1.78,2.01,0,0,0.27,0,46.06,86,86
"HATC1","HAT CREEK",40.93,-121.54,3015,0.14,1.58,1.88,2.33,4.09,5.05,1.57,0.81,0,0,1.11,2.14,20.7,108,108
"HLEC1","HARRY L ENGLEBRIGHT DAM",39.24,-121.27,800,1.17,0.9,3.45,8.06,6.78,4.28,1.26,1.82,0,0,0.05,0,27.77,78,78
"MHS","MT. SHASTA",41.32,-122.32,3590,0.31,1.85,7,10.85,11.92,4.08,2.45,1.39,0,0,0.95,0.43,41.23,95,95
"MINC1","MINERAL",40.35,-121.61,4875,0.39,3.11,7.4,8.38,10.8,8.57,1.57,3.51,0.01,0,1.86,0.4,46,80,80
"NVDC1","NEVADA CITY",39.25,-121,2781,1.47,2.99,5.84,11.57,13.27,9.71,1.26,2.39,0,0,0.37,0,48.87,78,78
"ONDC1","ORLAND",39.75,-122.2,254,0.73,0.81,5.27,3.35,7.95,1.24,1.65,0.84,0,0,0.11,0,21.95,95,95
"PCHC1","PACIFIC HOUSE",38.76,-120.5,3440,0.96,3.4,4.44,8.48,9.48,11.96,1.84,2.28,0,0,0.04,0.2,43.08,79,79
"PLCC1","PLACERVILLE",38.7,-120.82,1850,1.9,2.76,4.47,8.08,10.67,10.22,1.95,1.97,0,0,0.23,0,42.25,106,106
"PRAC1","PORTOLA",39.81,-120.47,4850,0.35,1.3,2.3,1.83,5.94,7.65,0.43,0.86,0,0.7,0.33,0,21.69,93,93
"QCYC1","QUINCY",39.94,-120.95,3420,0.44,2.71,5.48,5.42,11.96,10.36,1.14,2.8,0,0,0.85,0,41.16,103,103
"RBL","RED BLUFF AP",40.15,-122.25,353,0.03,0.83,4.69,5.4,5.68,2.84,1.59,0.66,0,0,0.1,0.62,22.44,92,92
"SHDC1","SHASTA DAM",40.71,-122.42,1075,0.38,2.8,11.31,15.22,16.78,11.71,5.8,1.61,0,0,0.4,0.35,66.36,101,101
"SMTC1","SACRAMENTO 5 ESE",38.56,-121.42,49,0.34,0.73,4.02,3.45,5.05,1.97,1.72,0.67,0,0,0.04,0,17.99,89,89
"STOC1","STONY GORGE",39.59,-122.53,800,0.56,1.2,5.48,3.97,8.67,2.88,1.81,0.13,0,0,0,0.1,24.8,111,111
"STYC1","STRAWBERRY VALLEY",39.56,-121.11,3808,0.77,3.01,8.23,13.44,14.97,7.32,1.82,2.9,0,0,0.59,0,53.05,64,64
"VOLC1","VOLTA PH",40.46,-121.87,2220,1.36,4.68,4.2,7.68,7.11,4.16,4.75,2.65,0,0,0.45,0.29,37.33,105,105
"WSKC1","WHISKEYTOWN RES",40.61,-122.53,1295,0.65,4.78,12.11,12.57,16.25,9.57,2.02,0.82,0,0,0.38,0.36,59.51,91,91
"ARNC1","CALAVERAS BIG TREES",38.28,-120.31,4695,0.49,3.87,4.29,8.07,10.31,9.43,2.92,1.26,0,0,0.06,0,40.7,71,71
"CHVC1","CHERRY VALLEY",37.97,-119.92,4765,0.09,2.93,3.11,6.96,10.61,10.5,2.83,1.51,0,0,0.05,0.06,38.65,77,77
"CMPC1","CAMP PARDEE",38.25,-120.84,658,0.67,0.81,1.98,4.03,4.74,4.22,1.67,0.95,0,0,0,0,19.07,81,81
"FDDC1","FIDDLETOWN DEXTER RANCH",38.52,-120.71,2160,2.41,2.99,3.15,6.88,10.16,8.79,2.19,1.72,0,0,0,0,38.29,102,102
"GRVC1","GROVELAND RS",37.82,-120.1,3145,0.14,1.78,2.55,7.38,10.43,10.06,2.85,1.52,0,0,0.01,0,36.72,96,96
"HETC1","HETCH HETCHY",37.96,-119.78,3870,0.16,2.41,1.66,4.84,7.99,7.05,2.76,1.65,0,0,0.11,0.02,28.65,76,76
"LOSC1","LOS BANOS",37.05,-120.87,120,0,0.72,2.33,1.95,3.11,0.71,1.05,0.37,0.01,0,0,0,10.25,103,103
"MCEC1","MERCED",37.29,-120.51,153,0.03,0.88,2.07,3.6,4.55,2.49,1.71,0.56,0,0,0,0,15.89,122,122
"MRIC1","MARIPOSA RS",37.49,-119.99,2100,0,1.27,2.31,5.98,6.01,4.5,2.63,0.66,0,0,0,0,23.36,71,71
"NMDC1","NEW MELONES DAM HQ",38,-120.49,960,0.47,1.9,2.21,5,7.62,6.1,3.1,1.32,0,0,0.37,0,28.09,94,94
"WSTC1","WEST POINT",38.47,-120.37,1950,0.86,3.22,5.38,8.38,9.37,11.27,1.54,1.62,0,0,0,0.02,41.66,104,104
"ASHC1","ASH MOUNTAIN",36.49,-118.83,1708,0.05,1.26,1.23,2.91,6.33,5.51,1.76,0.8,0,0,0.3,0,20.15,74,74
"BFL","BAKERSFIELD",35.43,-119.05,497,0.34,0.03,0.64,1.55,2.25,1.23,0.78,0.1,0,0,0,0,6.92,107,107
"GNNC1","GLENNVILLE",35.73,-118.7,3140,0.5,0.6,0.45,3.68,3.89,3.57,1.65,0.37,0,0,0,0,14.71,73,73
"GRGC1","GRANT GROVE",36.74,-118.96,6600,0.48,2.13,0.43,1.83,4.65,5.3,1.98,1.23,0.1,0,0.1,0,18.23,43,43
"PFTC1","PINE FLAT DAM",36.83,-119.32,615,0.02,0.22,1.2,2.37,4.99,4,2.11,0.67,0.08,0.02,0.04,0.05,15.77,76,76
"FAT","FRESNO AIR TERMINAL",36.78,-119.72,372,0,0.12,0.78,1.9,3.08,1.4,1.29,0.34,0,0.01,0,0,8.92,78,78
"HJO","HANFORD",36.32,-119.63,242,0.01,0.16,1.25,1.33,3.57,1.61,0.35,0.33,0,0.02,0,0,8.63,85,85
"LEMC1","LEMON COVE",36.38,-119.03,513,0.26,0.3,1.18,2.58,4.04,2.77,1,0,0,0,0,0,12.13,83,83
"LINC1","LINDSAY",36.2,-119.06,420,0,0.07,0,1.3,3.9,2.22,1.42,0,0,0,0,0,8.91,72,72
"VISC1","VISALIA",36.33,-119.3,325,0.08,0.31,1.49,1.23,3.68,1.76,1.16,0.4,0,0,0,0,10.11,92,92
"WASC1","WASCO",35.6,-119.35,345,0.2,0.12,1.36,1.38,1.66,2.37,0.05,0,0,0,0,0,7.14,98,98
"BISC1","BIG SUR STATE PARK",36.26,-121.78,200,0.4,2.33,9.11,8.22,12.28,8.54,3.26,0.93,0,0,0,0.07,45.14,101,101
"CCAC1","CACHUMA DAM",34.58,-119.98,781,0.01,0.64,4.97,1.87,15.99,5.9,2.91,0.1,0,0,0,0.03,32.42,147,147
"JUNC1","JUNCAL DAM",34.49,-119.51,2227,0,0.27,9.1,1.59,20,7.96,3.36,0.12,0,0.02,0,0,42.42,136,136
"KICC1","KING CITY",36.21,-121.13,320,0.02,0.74,3.95,1.84,6.11,2.05,1.15,0.32,0,0,0.02,0.62,16.82,139,139
"PRB","PASO ROBLES",35.67,-120.63,836,0,1.97,4.15,3.48,4.59,2.33,1.73,0.06,0,0,0,0.04,18.35,144,144
"SBA","SANTA BARBARA",34.43,-119.84,9,0,0.25,5.06,3.28,11.01,4.45,1.02,0.09,0,0,0,0,25.16,142,142
"SBPC1","SAN LUIS OBISPO",35.31,-120.66,315,0.01,1.62,5.39,3.89,6.73,5.07,3.25,0.19,0,0,0,0.02,26.17,113,113
"SMX","SANTA MARIA",34.9,-120.45,254,0,0.35,2.95,1.73,5.9,3.59,2.54,0.12,0,0,0,0.04,17.22,123,123
"WVIC1","WATSONVILLE WATERWORKS",36.93,-121.77,95,0.29,1.94,2.25,5.01,6.29,4.39,1.95,0.64,0,0,0,0.01,22.77,97,97
"BBLC1","BIG BEAR LAKE F.S.",34.24,-116.9,6760,0.01,0.66,0.56,1.62,10.98,5.2,1.45,0.36,0,0.02,0.62,0.57,22.05,110,110
"CQT","DOWNTOWN LA",34.02,-118.29,185,0,0.36,2.82,2.05,12.66,3.5,0.63,0.13,0,0,0,0,22.15,148,148
"EORC1","ELSINORE",33.67,-117.33,1285,0,0.28,0.74,1.6,5.52,3.17,0.26,0.06,0,0,0,0.2,11.83,95,95
"LAX","LA INT'L AIRPORT",33.94,-118.39,97,0,0.13,3.57,1.95,10.02,3.28,0.52,0.12,0,0,0,0,19.59,153,153
"LGB","LONG BEACH",33.81,-118.15,31,0.01,0.53,1.71,2.12,11.95,3.92,0.75,0.1,0,0,0,0,21.09,172,172
"LOX","OXNARD",34.21,-119.14,63,0,0.55,3.99,1.76,11.31,3.73,1.21,0.06,0.01,0,0,0,22.62,148,148
"OJAC1","OJAI",34.44,-119.13,1560,0,0.42,5.72,2.92,13.41,5.25,1.74,0.14,0.05,0,0,0,29.65,139,139
"MWS","MOUNT WILSON",34.23,-118.07,5733,0.61,0.22,6.11,3.22,22.79,11.09,3.61,0.99,0,0.14,0,0,48.78,136,136
"SAN","LINDBERGH FIELD",32.73,-117.18,15,0.01,0.61,0.79,3.65,4.58,2.54,0.16,0.07,0,0,0,0.02,12.43,120,120
"STAC1","SANTA ANA FS",33.74,-117.87,135,0.04,0.56,1.57,1.8,6.47,2.99,0.44,0.09,0.01,0,0,0.02,13.99,103,103
"FOBC1","FORT BIDWELL",41.86,-120.15,4500,0.72,2.94,1.29,2.65,1.34,2.46,1.24,0.33,0.02,0.16,0.19,0.25,13.59,75,75
"JESC1","JESS VALLEY",41.27,-120.29,5400,0.56,0.32,0.46,2.45,1.85,4.96,2.03,0.75,0.58,0.28,4.1,0.58,18.92,99,99
"BOCC1","BOCA RESERVOIR",39.39,-120.09,5575,0.87,1.55,1.96,2.36,4.4,7.67,0.72,0.91,0,0.01,0.43,0.25,21.13,94,94
"HTHN2","HAWTHORNE",38.52,-118.63,4330,0.74,0.27,0,0.56,3.53,0.23,0.51,0.06,0.4,0.71,0.76,0.6,8.37,229,229
"MINN2","MINDEN",38.95,-119.78,4709,0.2,0.39,1.03,0.74,3.37,3.13,0.24,0.19,0,0,0.02,0.15,9.46,106,106
"TAHC1","TAHOE CITY",39.17,-120.14,6230,0.62,2,2.75,3.66,6.13,10.67,0.82,1.29,0,0.6,0.12,0.33,28.99,85,85
"BARC1","BARSTOW",34.89,-117.02,2320,0,0.1,0.75,1.33,3.01,1.03,0.6,0,0,0.3,0,0.02,7.14,135,135
"BIH","BISHOP AP",37.37,-118.36,4108,0.18,0.07,0.36,0.08,3.4,0.35,0.01,0,0,0.02,0,0,4.47,86,86
"DEVC1","DEATH VALLEY",36.46,-116.86,-194,0,0.01,0.28,0.43,1.66,0.53,0.1,0,0,0.15,0,0,3.16,134,134
"FMTC1","FAIRMONT",34.7,-118.43,3060,0,0.52,2.87,1.24,8.75,4.52,1.37,0,0,0,0,0.09,19.36,116,116
"LEVC1","LEE VINING",37.96,-119.12,6797,0.72,0.56,0.21,1.17,5.87,2.46,0.23,0.19,0.01,0.75,0,0.3,12.47,80,80
"PSP","PALM SPRINGS",33.82,-116.5,474,0,0.41,0.17,0.87,1.33,0.42,0,0,0,0,0,0.08,3.28,68,68
"MNAN2","MINA",38.39,-118.11,4550,0.1,0.08,0,0.5,1.38,0.34,0.63,0.05,0.07,0.5,0.08,0,3.73,62,62
"PAHN2","PAHRUMP",36.28,-116,2674,0.15,0.11,0.14,0.96,2.84,0.83,0.34,0,0,0.1,0,0.05,5.52,108,108
"SLVN2","SILVERPEAK",37.76,-117.57,4260,0.06,0.16,0.05,0.22,0.65,0.23,0.45,0.01,0.02,0.24,0,0.03,2.12,48,48
"DNWN2","DESERT NTL WILDLIFE REF",36.44,-115.36,2920,0.06,0.06,0.3,0.32,1.79,0.57,0.31,0,0,0.06,0,0,3.47,70,70
"EED","NEEDLES",34.77,-114.62,917,0,0.02,0.02,0.43,0.93,0.81,0,0,0,0,0.19,0.1,2.5,54,54
"HIKN2","HIKO",37.56,-115.22,3900,0.52,0.15,0,1.1,2.46,0.5,0.35,0.08,0.15,0,0.33,0,5.64,77,77
"LAUN2","LAUGHLIN",35.17,-114.58,605,0,0.04,0,0.43,1.28,1.46,0.25,0,0,0,0.18,0,3.64,57,57
"LHCA3","LAKE HAVASU CITY",34.48,-114.34,505,0,0.18,0.24,0.8,0.62,0.39,0.54,0,0,0.02,0.09,0.41,3.29,86,86
"SGUU1","ST. GEORGE",37.11,-113.57,2770,0.16,0.49,0.16,1.35,2.06,1.2,0.12,0,0,0.47,1.64,0,7.65,87,87
"SRCN2","SEARCHLIGHT",35.47,-114.92,3540,0,0.2,0,0.74,0.7,0.88,0.54,0,0,0,0,0,3.06,39,39
"VEF","LAS VEGAS",36.05,-115.18,2286,0.82,0.09,0.12,0.35,1.06,0.85,0.3,0,0,0.2,0,0,3.79,75,75
"VOFN2","VALLEY FO FIRE SP",36.43,-114.51,2000,0.08,0.13,0.02,0.61,1.05,0.04,0.33,0.05,0,0.51,0,0.22,3.04,47,47
"WUPA3","WIKIEUP",34.71,-113.61,2010,0.27,0,0.09,0.82,2.22,1.38,1.08,0,0,1.61,0.72,0,8.19,88,88
"EMRU1","ENTERPRISE",37.57,-113.71,5320,0.3,0.63,0.22,1.52,2.78,1.43,0.68,0.11,0,1.32,0.06,0.09,9.14,61,61
